Band,Origin,Years Active,Page Title,Summary,
The Byrds,Los Angeles,1964–1973|1989–1991|2000,The Byrds,"<p class=""mw-empty-elt"">

</p>
<p><b>The Byrds</b> (<span></span>) were an American rock band formed in Los Angeles, California, in 1964. The band underwent multiple lineup changes throughout its existence, with frontman Roger McGuinn (known as Jim McGuinn until mid-1967) remaining the sole consistent member. Although their time as one of the most popular groups in the world only lasted for a short period in the mid-1960s, the Byrds are today considered by critics to be among the most influential rock acts of their era. Their signature blend of clear harmony singing and McGuinn's jangly 12-string Rickenbacker guitar was ""absorbed into the vocabulary of rock"" and has continued to be influential.</p><p>Initially, the Byrds pioneered the musical genre of folk rock as a popular format in 1965, by melding the influence of the Beatles and other British Invasion bands with contemporary and traditional folk music on their first and second albums and the hit singles ""Mr. Tambourine Man"" and ""Turn! Turn! Turn!"".  As the 1960s progressed, the band was influential in originating psychedelic rock and raga rock, with their song ""Eight Miles High"" and the albums <i>Fifth Dimension</i> (1966), <i>Younger Than Yesterday</i> (1967), and <i>The Notorious Byrd Brothers</i> (1968). The band also played a pioneering role in the development of country rock, with the 1968 album <i>Sweetheart of the Rodeo</i> representing their fullest immersion into the genre.</p><p>The original five-piece lineup of the band consisted of McGuinn (lead guitar, vocals), Gene Clark (tambourine, vocals), David Crosby (rhythm guitar, vocals), Chris Hillman (bass guitar, vocals), and Michael Clarke (drums). This version of the band was relatively short-lived and by early 1966 Clark had left due to problems associated with anxiety and his increasing isolation within the group. The Byrds continued as a quartet until late 1967, when Crosby and Clarke also departed. McGuinn and Hillman decided to recruit new members, including country rock pioneer Gram Parsons, but by late 1968, Hillman and Parsons had also exited the band. McGuinn elected to rebuild the band's membership; between 1968 and 1973, he helmed a new incarnation of the Byrds that featured guitarist Clarence White, among others.  McGuinn disbanded the then-current version of the band in early 1973 to make way for a reunion of the original quintet. The Byrds' final album was released in March 1973, with the reunited group disbanding later that year.</p><p>Several former members of the Byrds went on to successful careers of their own, either as solo artists or as members of such groups as Crosby, Stills, Nash &amp; Young, the Flying Burrito Brothers, McGuinn, Clark &amp; Hillman, and the Desert Rose Band. In 1991, the Byrds were inducted into the Rock and Roll Hall of Fame, an occasion that saw the five original members performing together for the last time. Gene Clark died of a heart attack later that year, while Michael Clarke died of liver failure in 1993. David Crosby died in 2023. McGuinn and Hillman remain active.
</p>


",
,,,,,
Young Money,,,Young Money Entertainment,"<p class=""mw-empty-elt"">

</p>
<p><b>Young Money Entertainment</b> is an American record label founded by rapper Lil Wayne. Young Money's president is Lil Wayne's lifelong friend and fellow rapper Mack Maine. The label was an imprint of Cash Money Records and is distributed by Republic Records.
</p><p>The label has released fifteen US albums that reached number one on the <i>Billboard</i> 200 chart: <i>Tha Carter III</i>, <i>I Am Not a Human Being</i>, <i>Tha Carter IV</i>, <i>Tha Carter V</i>, and <i>Funeral</i> by Lil Wayne, <i>Thank Me Later</i>, <i>Take Care</i>, <i>Nothing Was the Same</i>, <i>If You're Reading This It's Too Late</i>, <i>What a Time to Be Alive</i> (along with Epic Records artist Future), <i>Views</i>, <i>More Life</i>, and <i>Scorpion</i> by Drake, and <i>Pink Friday</i> and <i>Pink Friday: Roman Reloaded</i> by Nicki Minaj.
</p><p>Current artists include Lil Wayne, Nicki Minaj, Mack Maine, Lil Twist, and Cory Gunz, among others. The label has released three compilation albums — <i>We Are Young Money</i> (2009), <i>Rich Gang</i> (2013; with Cash Money Records), and <i>Young Money: Rise of an Empire</i> (2014).
</p>",
,,,,,
The Cinematic Orchestra,London,1999–present,The Cinematic Orchestra,"<p class=""mw-empty-elt"">

</p>
<p><b>The Cinematic Orchestra</b> is a British nu jazz and downtempo music group created in 1999 by Jason Swinscoe. The group is signed to independent record label Ninja Tune.
</p><p>The Cinematic Orchestra have produced four studio albums, <i>Motion</i> (1999), <i>Every Day</i> (2002), <i>Ma Fleur</i> (2007) and <i>To Believe</i> (2019), and two film soundtrack albums, <i>Man with a Movie Camera</i> (2003) and <i>The Crimson Wing: Mystery of the Flamingos</i> (2009).
</p><p>In addition to Swinscoe, the band includes former DJ Food member PC (Patrick Carpenter) on turntables, Luke Flowers on drums, Tom Chant on saxophone, Nick Ramm on piano, Stuart McCallum on guitar, and Phil France on double bass. Former members include Jamie Coleman (trumpet), T. Daniel Howard (drums), Federico Ughi (drums), Alex James (piano), and Clean Sadness (synthesizer, programming).
</p><p>Swinscoe and Carpenter have also recorded together under the band name Neptune.
</p>",
,,,,,
The Kills,,2001-present,The Kills,"<p class=""mw-empty-elt"">
</p>
<p><b>The Kills</b> are an English-American rock duo formed by American singer Alison ""VV"" Mosshart and English guitarist Jamie ""Hotel"" Hince. They are signed to Domino Records. Their first four albums, <i>Keep On Your Mean Side</i>, <i>No Wow</i>, <i>Midnight Boom</i>, and <i>Blood Pressures</i>, all reached the UK album chart. Their fifth and most recent studio album, <i>Ash &amp; Ice</i>, was released in 2016 and reached the UK Top 20 album chart.</p>",
,,,,,
Puddle of Mudd,Kansas City,1992–present,Puddle of Mudd,"<p class=""mw-empty-elt"">
</p>
<p><b>Puddle of Mudd</b> is an American rock band formed in Kansas City, Missouri in 1992. To date, the band has sold over seven million albums and has had a string of No. 1 mainstream rock singles in the United States. Their major-label debut <i>Come Clean</i> has sold over five million copies. They have released an extended play, an independent album and five studio albums, with their latest being <i>Welcome to Galvania</i> in September 2019.. Vocalist and guitarist Wes Scantlin remains the only consistent member throughout the band's history.
</p><p>Puddle of Mudd has been described as post-grunge, hard rock, and alternative metal.</p>


",
,,,,,
Bombay Bicycle Club,London,2005–2016, 2019–present,Bombay Bicycle Club,"<p class=""mw-empty-elt"">

</p>
<p><b>Bombay Bicycle Club</b> are an English indie rock band from Crouch End, London, consisting of Jack Steadman, Jamie MacColl, Suren de Saram, and Ed Nash. They are guitar-fronted and have experimented with different genres, including folk, electronica, world music and indie rock.
</p><p>The band were given the opening slot on 2006's V Festival after winning a competition. They subsequently released two EPs and their debut single ""Evening/Morning"". Since then, the band has released five albums including <i>So Long, See You Tomorrow</i> which topped the album charts in February 2014. The band has toured worldwide as a headlining act, playing North America, Australia, Europe and Asia.
</p><p>In January 2016, the four members announced that they would pursue solo projects. Ed Nash recorded music under the name Toothless, and released his debut album in early 2017. Frontman Jack Steadman, under the name Mr Jukes, released his debut album in 2017.</p><p>In January 2019, Bombay Bicycle Club announced their return to making new music and performing live after a three-year hiatus: ""Since late last year we've been getting back into the swing of playing music together. More than anything it just felt great to be in the same room playing again. It made us realise what a good thing we have and has given us renewed energy and enthusiasm for the future"".</p>"
,,,,,
Whitesnake,London,,Whitesnake,"<p class=""mw-empty-elt"">


</p>
<p><b>Whitesnake</b> are  an English hard rock band formed in London in 1978. The group was originally put together as the backing band for singer David Coverdale, who had recently left Deep Purple. Though the band quickly developed into their own entity, Coverdale is the only constant member throughout their history.
</p><p>Whitesnake enjoyed much success in the UK, Europe and Japan through their early years. Their albums <i>Ready an' Willing</i>, <i>Come an' Get It</i> and <i>Saints &amp; Sinners</i> all reached the top ten on the UK Albums Chart. By the mid-1980s, however, Coverdale had set his sights on breaking through in North America, where Whitesnake remained largely unknown. With the backing of American label Geffen Records, Whitesnake released <i>Slide It In</i> in 1984, followed by an eponymous album in 1987, which became their biggest success to date, selling over eight million copies in the US and spawning the hit singles ""Here I Go Again"" and ""Is This Love"". 
</p><p>Whitesnake also adopted a more contemporary look, akin to the Los Angeles glam metal scene. After releasing <i>Slip of the Tongue</i> in 1989, Coverdale decided to put Whitesnake on hold to take a break from the music industry. Aside from a few short-lived reunions in the 1990s, Whitesnake remained mostly inactive until 2003, when Coverdale put together a new line-up to celebrate the band's 25th anniversary. Since then Whitesnake have released four more studio albums and toured extensively around the world.
</p><p>Whitesnake's early sound has been characterized by critics as blues rock, but by the mid-1980s the band slowly began moving toward a more commercially accessible hard rock style. Topics such as love and sex are common in Whitesnake's lyrics, which have been criticized for their excessive use of sexual innuendos and double entendres. Whitesnake have been nominated for several awards during their career, including Best British Group at the 1988 Brit Awards. They have also been featured on lists of the greatest hard rock bands of all time by several media outlets, while their songs and albums have appeared on many ""best of"" lists by outlets, such as VH1 and <i>Rolling Stone</i>.</p>",
,,,,,
Antonio Vivaldi,,,Antonio Vivaldi,"<p class=""mw-empty-elt"">
</p>


<p><b>Antonio Lucio Vivaldi</b> (4 March 1678 – 28 July 1741) was a Venetian composer, virtuoso violinist and impresario of Baroque music. Along with Johan Sebastian Bach and Georg Frideric Handel, Vivaldi is regarded as one of the greatest Baroque composers and his influence during his lifetime was widespread across Europe, giving origin to many imitators and admirers. He pioneered many developments in orchestration, violin technique and programatic music. He consolidated the emerging concerto form into a widely accepted and followed idiom, which was paramount in the development of Johann Sebastian Bach's instrumental music.
</p><p>Vivaldi composed many instrumental concertos, for the violin and a variety of other musical instruments, as well as sacred choral works and more than fifty operas. His best-known work is a series of violin concertos known as <i>the Four Seasons</i>. Many of his compositions were written for the all-female music ensemble of the <i>Ospedale della Pietà</i>, a home for abandoned children. Vivaldi began studying for the priesthood at the age of 15 and was ordained at 25, but was given dispensation to no longer say public Masses due to a health problem. Vivaldi also had some success with expensive stagings of his operas in Venice, Mantua and Vienna. After meeting the Emperor Charles VI, Vivaldi moved to Vienna, hoping for royal support. However, the Emperor died soon after Vivaldi's arrival, and Vivaldi himself died in poverty less than a year later.  
</p><p>After almost two centuries of decline, Vivaldi's musical reputation underwent a revival in the early 20th century, with much scholarly research devoted to his work. Many of Vivaldi's compositions, once thought lost, have been rediscovered – in one case as recently as 2006. His music remains widely popular in the present day and is regularly played all over the world.
</p>


",
