Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary
Leonard Cohen,,1934|9|21,Westmount,1954–2016,Vocals|guitar|keyboards,Leonard Cohen,"<p class=""mw-empty-elt"">

</p>
<p><b>Leonard Norman Cohen</b>  (September 21, 1934 – November 7, 2016) was a Canadian singer-songwriter, poet, and novelist. Themes commonly explored throughout his work include faith and mortality, isolation and depression, betrayal and redemption, social and political conflict, and sexual and romantic love, desire, regret, and loss. He was inducted into the Canadian Music Hall of Fame, the Canadian Songwriters Hall of Fame, and the Rock and Roll Hall of Fame. He was invested as a Companion of the Order of Canada, the nation's highest civilian honour. In 2011, he received one of the Prince of Asturias Awards for literature and the ninth Glenn Gould Prize.
</p><p>Cohen pursued a career as a poet and novelist during the 1950s and early 1960s, and did not begin a music career until 1967. His first album, <i>Songs of Leonard Cohen</i> (1967), was followed by three more albums of folk music: <i>Songs from a Room</i> (1969), <i>Songs of Love and Hate</i> (1971) and <i>New Skin for the Old Ceremony</i> (1974). His 1977 record <i>Death of a Ladies' Man</i>, co-written and produced by Phil Spector, was a move away from Cohen's previous minimalist sound.
</p><p>In 1979, Cohen returned with the more traditional <i>Recent Songs</i>, which blended his acoustic style with jazz, East Asian, and Mediterranean influences. Cohen's most famous song, ""Hallelujah"", was released on his seventh album, <i>Various Positions</i> (1984). <i>I'm Your Man</i> in 1988 marked Cohen's turn to synthesized productions. In 1992, Cohen released its follow-up, <i>The Future</i>, which had dark lyrics and references to political and social unrest.
</p><p>Cohen returned to music in 2001 with the release of <i>Ten New Songs</i>, a major hit in Canada and Europe. His eleventh album, <i>Dear Heather</i>, followed in 2004. In 2005, Cohen discovered that his manager had stolen most of his money and sold his publishing rights, prompting a return to touring to recoup his losses. Following a successful string of tours between 2008 and 2013, he released three albums in the final years of his life: <i>Old Ideas</i> (2012), <i>Popular Problems</i> (2014), and <i>You Want It Darker</i> (2016), the last of which was released three weeks before his death.  His  posthumous, fifteenth, and final studio album <i>Thanks for the Dance</i>, was released in November 2019.
</p><p>Rolling Stone ranked him number 103 in their 200 Greatest Singers of all time, in 2023.</p>


"
,,,,,,,
Janis Joplin,Janis Lyn Joplin,1943|1|19,Port Arthur,1962–1970,,Janis Joplin,"<p class=""mw-empty-elt"">

</p>
<p><b>Janis Lyn Joplin</b> (January 19, 1943 – October 4, 1970) was an American singer and musician. One of the most successful and widely known rock stars of her era, she was noted for her powerful mezzo-soprano vocals and ""electric"" stage presence.</p><p>In 1967, Joplin rose to fame following an appearance at Monterey Pop Festival, where she was the lead singer of the then little-known San Francisco psychedelic rock band Big Brother and the Holding Company. After releasing two albums with the band, she left Big Brother to continue as a solo artist with her own backing groups, first the Kozmic Blues Band and then the Full Tilt Boogie Band. She appeared at the Woodstock festival and on the <i>Festival Express</i> train tour. Five singles by Joplin reached the <i>Billboard</i> Hot 100, including a cover of the Kris Kristofferson song ""Me and Bobby McGee"", which reached number one in March 1971. Her most popular songs include her cover versions of ""Piece of My Heart"", ""Cry Baby"", ""Down on Me"", ""Ball and Chain"", ""Summertime"", and her original song ""Mercedes Benz"", her final recording.</p><p>Joplin died of a heroin overdose in 1970, at the age of 27, after releasing three albums (two with Big Brother and the Holding Company and one solo album). A second solo album, <i>Pearl</i>, was released in January 1971, just over three months after her death. It reached number one on the <i>Billboard</i> charts. She was posthumously inducted into the Rock and Roll Hall of Fame in 1995. <i>Rolling Stone</i> ranked Joplin number 46 on its 2004 list of the 100 Greatest Artists of All Time and number 28 on its 2008 list of 100 Greatest Singers of All Time. She remains one of the top-selling musicians in the United States, with Recording Industry Association of America certifications of 18.5 million albums sold.</p>"
,,,,,,,
Natasha Bedingfield,Natasha Anne Bedingfield,1981|11|26,Haywards Heath,2001–present,,Natasha Bedingfield,"<p class=""mw-empty-elt"">

</p>
<p><b>Natasha Anne Bedingfield</b> (born 26 November 1981) is a British singer and songwriter. Bedingfield released her debut album, <i>Unwritten</i>, in 2004, which contained primarily up-tempo pop songs and was influenced by R&amp;B music. It enjoyed international success with more than 2.3 million copies sold worldwide. Bedingfield received a Grammy Award nomination for Best Female Pop Vocal Performance for the title track ""Unwritten"", and at the 2005 and 2006 Brit Awards, she was nominated for Best British Female Artist. <i>Unwritten</i> also produced her only UK number one, ""These Words"".
</p><p>Her second album, <i>N.B.</i> (2007), yielded the UK top 10 singles ""I Wanna Have Your Babies"" and ""Soulmate"". <i>N.B.</i> was not released in North America, but six tracks from it were included with seven new ones and released in 2008 as her third studio album, <i>Pocketful of Sunshine</i>, with the singles ""Love Like This"" and ""Pocketful of Sunshine"" earning success on the charts. In December 2010, Bedingfield released her third album in North America, <i>Strip Me</i>, with the song of the same name charting on the US <i>Billboard</i> Hot 100 at 91. Bedingfield has sold over 10 million albums and 10 million singles worldwide, totalling over 20 million records worldwide. In 2012, VH1 ranked Bedingfield number 66 on the list of 100 Greatest Women in Music.</p>"
,,,,,,,
Sarah McLachlan,Sarah Ann McLachlan,1968|1|28,Halifax,1987–present,,Sarah McLachlan,"<p class=""mw-empty-elt"">

</p>

<p><b>Sarah Ann McLachlan</b> OC OBC (born January 28, 1968) is a Canadian singer-songwriter. As of 2015, she had sold over 40 million albums worldwide. McLachlan's best-selling album to date is <i>Surfacing</i>, for which she won two Grammy Awards (out of four nominations) and four Juno Awards. In addition to her personal artistic efforts, she founded the Lilith Fair tour, which showcased female musicians.
</p>"
,,,,,,,
Sean Paul,Sean Paul Ryan Francis Henriques,1973|1|9,Kingston,1994–present,,Sean Paul,"<p class=""mw-empty-elt"">
</p>
<p><b>Sean Paul Ryan Francis Henriques</b>  (born 9 January 1973) is a Jamaican rapper and singer who is regarded as one of dancehall's most prolific artists.</p><p>Paul's singles ""Get Busy"" and ""Temperature"" topped the <i>Billboard</i> Hot 100 chart in the United States and most of his albums have been nominated for a Grammy Award for Best Reggae Album, with <i>Dutty Rock</i> winning the award. Paul has also been featured in many other singles including chart-toppers ""Baby Boy"" with Beyoncé, ""What About Us"" by The Saturdays, ""Rockabye"" by Clean Bandit (featuring Paul and Anne-Marie), and ""Cheap Thrills"" by Sia. ""No Lie"", ""Cheap Thrills"", and ""Rockabye"" each have over 1 billion views on YouTube, with ""Rockabye"" having reached over 2.7 billion views.
</p>


"
,,,,,,,
Duffy,Aimée Anne Duffy,1984|6|23,Bangor,,Vocals,Duffy (singer),"<p class=""mw-empty-elt"">

</p>

<p><b>Aimée Anne Duffy</b> (born 23 June 1984) is a Welsh singer, songwriter and actress. Her music style has been described as a mixture of soul, blue-eyed soul, pop rock, neo soul and pop music.
</p><p>Duffy released her debut album, <i>Rockferry</i>, in 2008. It topped the charts in several music markets, and led to worldwide attention. It was preceded by the lead single ""Mercy"", which reached number one in several countries and the top ten in twelve others. In 2009, Duffy received the Grammy Award for Best Pop Vocal Album for <i>Rockferry</i>, one of three nominations, and won three out of four Brit Awards nominations, for British Breakthrough, Best British Female and Best British Album. In 2010, she made her acting debut in the film <i>Patagonia</i> and released her second studio album <i>Endlessly</i> to moderate success.
</p><p>In February 2011, she announced an indefinite hiatus from music. She briefly returned in 2015, appearing in the film <i>Legend</i> and later contributed three songs to its soundtrack. In 2020, Duffy explained her long term absence from the music industry, saying that she had been recovering following being abducted and sexually assaulted. According to Duffy's official website, she is currently signed to Universal Recording Group.</p>


"
,,,,,,,
Trey Songz,Tremaine Aldon Neverson,1984|11|28,Petersburg,2003–present,,Trey Songz,"<p class=""mw-empty-elt"">
</p>

<p><b>Tremaine Aldon Neverson</b> (born November 28, 1984), known professionally as <b>Trey Songz</b>, is an American R&amp;B singer and rapper. His debut album, <i>I Gotta Make It</i>, was released in 2005 through Atlantic Records. His follow-up album, <i>Trey Day</i>, spawned his first top 20 single, ""Can't Help but Wait"". Songz released his third album, <i>Ready</i>, in 2009 and a single from the album, ""Say Aah"" (featuring Fabolous), peaked at No. 9 on the <i>Billboard</i> Hot 100 making it Songz's first top 10 hit. <i>Ready</i> was nominated for Best Male R&amp;B Vocal Performance at the 2008 Grammy Awards. The following year saw Songz's highest-charting song to date, ""Bottoms Up"" (featuring Nicki Minaj), from his fourth studio album, <i>Passion, Pain &amp; Pleasure</i> (2010).
</p><p>In 2012, Songz released his first number one album, <i>Chapter V</i>, which debuted atop the <i>Billboard</i> 200. The album's lead single, ""Heart Attack"", was nominated for Best R&amp;B Song at the 2013 Grammy Awards. Following that, Songz released his sixth studio album <i>Trigga</i> in 2014, his seventh studio album <i>Tremaine</i> in 2017, and his eighth studio album <i>Back Home</i> in 2020. He has sold over 25 million records worldwide in singles and albums.</p>


"
